"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5344","User should get all rooms","API Tests","Mon Apr 28 18:45:22 UTC 2025","passed","Mon Apr 28 18:45:27 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
"","5343","User should be able to book a room","UI Tests","Mon Apr 28 18:45:28 UTC 2025","passed","Mon Apr 28 18:45:33 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
