"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1090","User should be able to book a room","UI Tests","Wed Apr 30 04:19:27 UTC 2025","failed","Wed Apr 30 04:19:28 UTC 2025","Hotel Booking Website Tests","ui/hotel-room.ui.spec.ts","",""
"","6225","User should get all rooms","API Tests","Wed Apr 30 04:19:15 UTC 2025","passed","Wed Apr 30 04:19:21 UTC 2025","Room API Tests","api/hotel-room.api.spec.ts","",""
